rate,YEAR,COUNTRY,SEX
6.96,2018,BRA,BTSX
9.41,2016,BRA,MLE
1.62,2010,BRB,BTSX
0.496,2012,BRB,MLE
0.977,2011,BRB,BTSX
2.59,2010,BRB,MLE
0.314,2018,BRB,FMLE
0.935,2014,BRB,MLE
1.6,2011,BRB,MLE
0.3,2014,BRB,FMLE
0.0,2013,BRB,FMLE
0.402,2011,BRB,FMLE
0.726,2010,BRB,FMLE
0.463,2012,BRB,FMLE
0.311,2017,BRB,FMLE
0.319,2019,BRB,FMLE
0.622,2016,BRB,BTSX
0.309,2015,BRB,FMLE
0.937,2019,BRB,MLE
0.94,2018,BRB,MLE
0.941,2017,BRB,MLE
0.615,2017,BRB,BTSX
0.955,2016,BRB,MLE
0.616,2018,BRB,BTSX
0.344,2013,BRB,BTSX
0.915,2015,BRB,MLE
0.31,2016,BRB,FMLE
0.618,2019,BRB,BTSX
0.479,2012,BRB,BTSX
0.601,2015,BRB,BTSX
0.606,2014,BRB,BTSX
0.716,2013,BRB,MLE
4.42,2019,BRN,MLE
0.822,2017,BRN,FMLE
1.83,2010,BRN,MLE
3.14,2018,BRN,BTSX
2.15,2014,BRN,MLE
2.56,2016,BRN,BTSX
1.27,2010,BRN,BTSX
0.831,2019,BRN,FMLE
1.79,2014,BRN,BTSX
0.73,2015,BRN,FMLE
5.63,2017,BRN,MLE
0.676,2010,BRN,FMLE
2.93,2015,BRN,MLE
3.66,2011,BRN,MLE
1.4,2014,BRN,FMLE
1.07,2013,BRN,FMLE
5.27,2018,BRN,MLE
0.544,2016,BRN,FMLE
2.7,2019,BRN,BTSX
0.835,2018,BRN,FMLE
3.32,2017,BRN,BTSX
1.78,2013,BRN,BTSX
0.0,2011,BRN,FMLE
1.88,2015,BRN,BTSX
2.43,2013,BRN,MLE
4.43,2016,BRN,MLE
3.51,2012,BRN,MLE
1.9,2011,BRN,BTSX
2.13,2012,BRN,BTSX
0.647,2012,BRN,FMLE
5.86,2010,BTN,MLE
6.02,2012,BTN,MLE
2.42,2011,BTN,FMLE
2.46,2012,BTN,FMLE
4.47,2016,BTN,BTSX
6.33,2018,BTN,MLE
2.54,2014,BTN,FMLE
4.33,2012,BTN,BTSX
4.59,2017,BTN,BTSX
4.6,2019,BTN,BTSX
2.42,2010,BTN,FMLE
6.31,2019,BTN,MLE
4.44,2014,BTN,BTSX
2.67,2018,BTN,FMLE
6.28,2017,BTN,MLE
6.15,2014,BTN,MLE
2.68,2019,BTN,FMLE
2.69,2017,BTN,FMLE
4.23,2010,BTN,BTSX
5.93,2011,BTN,MLE
2.54,2013,BTN,FMLE
6.07,2013,BTN,MLE
4.27,2011,BTN,BTSX
2.58,2015,BTN,FMLE
2.58,2016,BTN,FMLE
4.4,2013,BTN,BTSX
4.49,2015,BTN,BTSX
6.2,2015,BTN,MLE
4.61,2018,BTN,BTSX
6.15,2016,BTN,MLE
22.6114,2012,BWA,BTSX
8.26,2012,BWA,FMLE
6.42,2019,BWA,FMLE
8.48,2010,BWA,FMLE
28.093,2017,BWA,MLE
30.585,2015,BWA,MLE
17.4303,2017,BWA,BTSX
19.6017,2014,BWA,BTSX
7.87,2013,BWA,FMLE
37.1904,2011,BWA,MLE
16.0547,2019,BWA,BTSX
8.33,2015,BWA,FMLE
7.3,2018,BWA,FMLE
26.3475,2019,BWA,MLE
7.52,2017,BWA,FMLE
28.5431,2016,BWA,MLE
28.2696,2018,BWA,MLE
31.3772,2014,BWA,MLE
21.5816,2013,BWA,BTSX
36.1857,2013,BWA,MLE
19.045,2015,BWA,BTSX
8.84,2011,BWA,FMLE
17.7642,2016,BWA,BTSX
7.76,2016,BWA,FMLE
37.7777,2012,BWA,MLE
24.3897,2010,BWA,BTSX
41.0103,2010,BWA,MLE
8.62,2014,BWA,FMLE
22.6739,2011,BWA,BTSX
17.4228,2018,BWA,BTSX
23.4429,2017,CAF,MLE
5.31,2018,CAF,FMLE
14.4431,2015,CAF,BTSX
13.7256,2016,CAF,BTSX
23.7374,2013,CAF,MLE
5.91,2015,CAF,FMLE
12.7993,2018,CAF,BTSX
14.3419,2017,CAF,BTSX
15.7501,2010,CAF,BTSX
5.19,2019,CAF,FMLE
6.3,2013,CAF,FMLE
14.9391,2013,CAF,BTSX
22.2356,2016,CAF,MLE
12.3271,2019,CAF,BTSX
19.5941,2019,CAF,MLE
20.4251,2018,CAF,MLE
5.36,2016,CAF,FMLE
23.0106,2012,CAF,MLE
15.3811,2011,CAF,BTSX
7.38,2010,CAF,FMLE
23.1334,2015,CAF,MLE
24.2917,2010,CAF,MLE
6.59,2012,CAF,FMLE
23.8092,2011,CAF,MLE
15.5678,2014,CAF,BTSX
5.93,2014,CAF,FMLE
14.7208,2012,CAF,BTSX
5.4,2017,CAF,FMLE
25.3844,2014,CAF,MLE
7.11,2011,CAF,FMLE
6.14,2011,CAN,FMLE
11.9896,2018,CAN,BTSX
6.85,2015,CAN,FMLE
6.09,2019,CAN,FMLE
17.7742,2010,CAN,MLE
6.42,2010,CAN,FMLE
6.42,2017,CAN,FMLE
16.4837,2011,CAN,MLE
18.6906,2014,CAN,MLE
6.2,2018,CAN,FMLE
19.2392,2015,CAN,MLE
17.6149,2016,CAN,MLE
6.18,2012,CAN,FMLE
6.37,2013,CAN,FMLE
14.6301,2011,CHE,BTSX
9.5,2015,CHE,FMLE
14.9638,2015,CHE,BTSX
14.5035,2018,CHE,BTSX
14.6492,2017,CHE,BTSX
14.7111,2012,CHE,BTSX
14.4735,2010,CHE,BTSX
9.27,2013,CHE,FMLE
9.19,2011,CHE,FMLE
19.8419,2014,CHE,MLE
12.9932,2015,CAN,BTSX
11.8057,2019,CAN,BTSX
17.9078,2013,CAN,MLE
12.0529,2010,CAN,BTSX
6.21,2016,CAN,FMLE
11.8649,2016,CAN,BTSX
