SEX,COUNTRY,YEAR,rate
BTSX,BRB,2016,0.622
FMLE,BRB,2015,0.309
MLE,BRB,2019,0.937
MLE,BRB,2018,0.94
MLE,BRB,2017,0.941
BTSX,BRB,2017,0.615
MLE,BRB,2016,0.955
BTSX,BRB,2018,0.616
BTSX,BRB,2013,0.344
MLE,BRB,2015,0.915
FMLE,BRB,2016,0.31
BTSX,BRB,2019,0.618
BTSX,BRB,2012,0.479
BTSX,BRB,2015,0.601
BTSX,BRB,2014,0.606
MLE,BRB,2013,0.716
MLE,BRN,2019,4.42
FMLE,BRN,2017,0.822
MLE,BRN,2010,1.83
BTSX,BRN,2018,3.14
MLE,BRN,2014,2.15
BTSX,BRN,2016,2.56
BTSX,BRN,2010,1.27
FMLE,BRN,2019,0.831
BTSX,BRN,2014,1.79
FMLE,BRN,2015,0.73
MLE,BRN,2017,5.63
FMLE,BRN,2010,0.676
MLE,BRN,2015,2.93
MLE,BRN,2011,3.66
FMLE,BRN,2014,1.4
FMLE,BRN,2013,1.07
MLE,BRN,2018,5.27
FMLE,BRN,2016,0.544
BTSX,BRN,2019,2.7
FMLE,BRN,2018,0.835
BTSX,BRN,2017,3.32
BTSX,BRN,2013,1.78
FMLE,BRN,2011,0.0
BTSX,BRN,2015,1.88
MLE,BRN,2013,2.43
MLE,BRN,2016,4.43
MLE,BRN,2012,3.51
BTSX,BRN,2011,1.9
BTSX,BRN,2012,2.13
FMLE,BRN,2012,0.647
MLE,BTN,2010,5.86
MLE,BTN,2012,6.02
FMLE,BTN,2011,2.42
FMLE,BTN,2012,2.46
BTSX,BTN,2016,4.47
MLE,BTN,2018,6.33
FMLE,BTN,2014,2.54
BTSX,BTN,2012,4.33
BTSX,BTN,2017,4.59
BTSX,BTN,2019,4.6
FMLE,BTN,2010,2.42
MLE,BTN,2019,6.31
BTSX,BTN,2014,4.44
FMLE,BTN,2018,2.67
MLE,BTN,2017,6.28
MLE,BTN,2014,6.15
FMLE,BTN,2019,2.68
FMLE,BTN,2017,2.69
BTSX,BTN,2010,4.23
MLE,BTN,2011,5.93
FMLE,BTN,2013,2.54
MLE,BTN,2013,6.07
BTSX,BTN,2011,4.27
FMLE,BTN,2015,2.58
FMLE,BTN,2016,2.58
BTSX,BTN,2013,4.4
BTSX,BTN,2015,4.49
MLE,BTN,2015,6.2
BTSX,BTN,2018,4.61
MLE,BTN,2016,6.15
BTSX,BWA,2012,22.6114
FMLE,BWA,2012,8.26
FMLE,BWA,2019,6.42
FMLE,BWA,2010,8.48
MLE,BWA,2017,28.093
MLE,BWA,2015,30.585
BTSX,BWA,2017,17.4303
BTSX,BWA,2014,19.6017
FMLE,BWA,2013,7.87
MLE,BWA,2011,37.1904
BTSX,BWA,2019,16.0547
FMLE,BWA,2015,8.33
FMLE,BWA,2018,7.3
MLE,BWA,2019,26.3475
FMLE,BWA,2017,7.52
MLE,BWA,2016,28.5431
MLE,BWA,2018,28.2696
MLE,BWA,2014,31.3772
BTSX,BWA,2013,21.5816
MLE,BWA,2013,36.1857
BTSX,BWA,2015,19.045
FMLE,BWA,2011,8.84
BTSX,BWA,2016,17.7642
FMLE,BWA,2016,7.76
MLE,BWA,2012,37.7777
BTSX,BWA,2010,24.3897
MLE,BWA,2010,41.0103
FMLE,BWA,2014,8.62
BTSX,BWA,2011,22.6739
BTSX,BWA,2018,17.4228
MLE,CAF,2017,23.4429
FMLE,CAF,2018,5.31
BTSX,CAF,2015,14.4431
BTSX,CAF,2016,13.7256
MLE,CAF,2013,23.7374
FMLE,CAF,2015,5.91
BTSX,CAF,2018,12.7993
BTSX,CAF,2017,14.3419
BTSX,CAF,2010,15.7501
FMLE,CAF,2019,5.19
FMLE,CAF,2013,6.3
BTSX,CAF,2013,14.9391
MLE,CAF,2016,22.2356
BTSX,CAF,2019,12.3271
MLE,CAF,2019,19.5941
MLE,CAF,2018,20.4251
FMLE,CAF,2016,5.36
MLE,CAF,2012,23.0106
BTSX,CAF,2011,15.3811
FMLE,CAF,2010,7.38
MLE,CAF,2015,23.1334
MLE,CAF,2010,24.2917
FMLE,CAF,2012,6.59
MLE,CAF,2011,23.8092
BTSX,CAF,2014,15.5678
FMLE,CAF,2014,5.93
BTSX,CAF,2012,14.7208
