"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"SDGSUICIDE","PUBLISHED","2019","EMR","","ARE","BTSX","6.4 [3.6-10.3]","6.43000","3.64000","10.32540",""
"SDGSUICIDE","PUBLISHED","2018","EMR","","ARE","BTSX","6.0 [3.4-9.8]","6.04000","3.43000","9.75000",""
"SDGSUICIDE","PUBLISHED","2000","EMR","","ARE","MLE","10.8 [6.7-16.5]","10.83660","6.67000","16.53030",""
"SDGSUICIDE","PUBLISHED","2004","EMR","","ARE","BTSX","7.7 [5.1-11.1]","7.74000","5.11000","11.07020",""
"SDGSUICIDE","PUBLISHED","2018","EMR","","ARE","FMLE","2.9 [1.6-4.8]","2.89000","1.61000","4.78000",""
"SDGSUICIDE","PUBLISHED","2010","EMR","","ARE","MLE","10.1 [6.4-14.7]","10.10720","6.43000","14.70170",""
"SDGSUICIDE","PUBLISHED","2017","EMR","","ARE","FMLE","2.8 [1.6-4.6]","2.80000","1.57000","4.58000",""
"SDGSUICIDE","PUBLISHED","2016","EMR","","ARE","FMLE","2.9 [1.6-4.7]","2.86000","1.61000","4.72000",""
"SDGSUICIDE","PUBLISHED","2019","EMR","","ARE","MLE","8.0 [4.5-12.7]","7.96000","4.52000","12.73220",""
"SDGSUICIDE","PUBLISHED","2014","EMR","","ARE","FMLE","3.1 [1.8-5.0]","3.12000","1.78000","5.04000",""
"SDGSUICIDE","PUBLISHED","2008","EMR","","ARE","FMLE","3.2 [2.0-4.9]","3.22000","1.99000","4.91000",""
"SDGSUICIDE","PUBLISHED","2013","EMR","","ARE","BTSX","7.5 [4.5-11.5]","7.49000","4.51000","11.47900",""
"SDGSUICIDE","PUBLISHED","2015","EMR","","ARE","MLE","7.9 [4.7-12.4]","7.93000","4.68000","12.43740",""
"SDGSUICIDE","PUBLISHED","2006","EMR","","ARE","MLE","10.3 [6.9-14.4]","10.25920","6.92000","14.37840",""
"SDGSUICIDE","PUBLISHED","2012","EMR","","ARE","FMLE","3.2 [1.9-5.0]","3.19000","1.89000","5.03000",""
"SDGSUICIDE","PUBLISHED","2002","EMR","","ARE","FMLE","3.7 [2.2-5.7]","3.67000","2.22000","5.66000",""
"SDGSUICIDE","PUBLISHED","2000","EMR","","ARE","FMLE","3.9 [2.4-6.1]","3.94000","2.37000","6.12000",""
"SDGSUICIDE","PUBLISHED","2001","EMR","","ARE","FMLE","3.9 [2.4-6.1]","3.91000","2.37000","6.09000",""
"SDGSUICIDE","PUBLISHED","2007","EMR","","ARE","BTSX","8.3 [5.6-11.7]","8.33000","5.60000","11.72570",""
